"location","source","target"
"strings_to_translate.php:264 strings_to_translate.php:284 strings_to_translate.php:304 strings_to_translate.php:324 strings_to_translate.php:344 strings_to_translate.php:364 strings_to_translate.php:384","Confirmação Password","Confirm password"
"strings_to_translate.php:265 strings_to_translate.php:285 strings_to_translate.php:305 strings_to_translate.php:325 strings_to_translate.php:345 strings_to_translate.php:365 strings_to_translate.php:385","fake_page",""
"strings_to_translate.php:389","Feminino","Female"
"strings_to_translate.php:390","Masculino","Male"
"strings_to_translate.php:394","Solteiro","Single"
"strings_to_translate.php:395","Casado","Married"
"strings_to_translate.php:396","Divorciado","Divorced"
"strings_to_translate.php:397","Viuvo","Widower"
"strings_to_translate.php:401","Primária","Primary"
"strings_to_translate.php:402","Preparatória","Preparatory"
"strings_to_translate.php:403","Secundário","Secondary"
"strings_to_translate.php:404","Licenciatura","Graduation"
"strings_to_translate.php:405","Mestrado","Master's Degree"
"strings_to_translate.php:406","Doutoramento","PhD"
"strings_to_translate.php:410","Sim","Yes"
"strings_to_translate.php:411","Não","No"
"controllers/ambassadors.controller.php:102","Bem-vindo","Welcome"
"controllers/ambassadors.controller.php:155 controllers/ambassadors.controller.php:201","É necessário um endereço de e-mail válido.","A valid e-mail address is required."
"controllers/ambassadors.controller.php:229","O endereço fornecido já existe.","The provided e-mail address already exists"
"controllers/ambassadors.controller.php:268","Lamentamos mas ocorreu um erro ao efectuar o seu pré-registo. Foi-nos impossível guardá-lo.","We regret what happened but a huge unforeseen situation made it impossible to execute your pre-registration. "
"controllers/ambassadors.controller.php:282","Lamentamos mas ocorreu um erro ao efectuar o pré-registo. Foi-nos impossível guardar o endereço de mail fornecido.","We regret what happened but a huge unforeseen situation made it impossible to execute your pre-registration. "
"controllers/ambassadors.controller.php:321","Lamentamos mas ocorreu um erro ao enviar o mail para o endereço fornecido.","We regret what happened but a huge unforeseen situation made it impossible to send you the confirmation e-mail."
"controllers/ambassadors.controller.php:333","<p>5 - Parabéns. O teu registo foi efectuado.</p>
						<p class=""texto5"">Dentro de alguns dias receberás novidades no teu email. Entretanto recomenda já o nosso site a todos os teus amigos. Podes ganhar pontos adicionais por cada um que se inscreva através da tua recomendação. Mais pontos são mais possibilidades de receberes convites para as campanhas que são do teu interesse. Não percas tempo!</p>",""
"controllers/ambassadors.controller.php:344","Lamentamos imenso mas uma situação imprevista inviabilizou a acção de pre-registo.","We regret what happened but a huge unforeseen situation made it impossible to fulfill the request successfully"
"controllers/ambassadors.controller.php:367 controllers/ambassadors.controller.php:377","Ups! Algo correu mal!","Oops… something went wrong!"
"controllers/ambassadors.controller.php:451","Não foi possível confirmar o registo.","Confirmation failed."
"controllers/ambassadors.controller.php:460","O registo já se encontra confirmado.","Your registration is already confirmed."
"controllers/ambassadors.controller.php:509","<p>Parabéns.</p>O teu registo foi um sucesso. Dentro de alguns dias receberás novidades no teu email. Entretanto recomenda já o nosso site a todos os teus amigos. Podes ganhar pontos adicionais por cada um que se inscreva através da tua recomendação. Mais pontos são mais possibilidades de receberes convites para as campanhas que são do teu interesse. Não percas tempo!",""
"controllers/ambassadors.controller.php:512","Ocorreu um erro ao efectuar o teu registo.","An error occurred while doing your registration."
"controllers/content.controller.php:386","Community","Community"
"controllers/content.controller.php:424","Sobre nós","About us"
"controllers/content.controller.php:455 controllers/content.controller.php:482 controllers/content.controller.php:522","Suporte","Support"
"controllers/content.controller.php:542","Junta-te a nós","Join us"
"controllers/dashboard.controller.php:19","Dados Demográficos",""
"controllers/dashboard.controller.php:22","Género","Gender"
"controllers/dashboard.controller.php:25","Idade","Age"
"controllers/dashboard.controller.php:29","Escolaridade","Nationality"
"controllers/default.controller.php:368","Lamentamos imenso o sucedido mas uma situação imprevista inviabilizou a satisfação do pedido com sucesso","We regret what happened but a huge unforeseen situation made ​​it impossible to fulfill the request successfully"
"controllers/registration.controller.beta.php:49 controllers/registration.controller.php:373","Existem erros de preenchimento que devem ser corrigidos para poder continuar.","There are errors that must be corrected fill to continue."
"controllers/registration.controller.beta.php:54 controllers/registration.controller.php:378","A introdução do nome é obrigatória.","This question is required."
"controllers/registration.controller.beta.php:60 controllers/registration.controller.php:384","A introdução do apelido é obrigatória.","This question is required."
"controllers/registration.controller.beta.php:66 controllers/registration.controller.php:390 controllers/registration.controller.php:466 controllers/registration.controller.php:501 controllers/registration.controller.php:536 controllers/registration.controller.php:557 controllers/registration.controller.php:564 controllers/registration.controller.php:620 controllers/registration.controller.php:626 controllers/registration.controller.php:660","Tem de introduzir um email válido.","This e-mail is incorrect."
"controllers/registration.controller.beta.php:72 controllers/registration.controller.php:396","A password tem de ter no mínimo 6 caracteres","The password has to have 6 caracters at least"
"controllers/registration.controller.beta.php:78 controllers/registration.controller.php:402","A password não pode ser ""olamaria""",""
"controllers/registration.controller.beta.php:84 controllers/registration.controller.php:408","Erro na confirmação de email.","Error in confirmation of email."
"controllers/registration.controller.beta.php:85 controllers/registration.controller.php:409","Este email está incorreto.","This e-mail is incorrect."
"controllers/registration.controller.beta.php:90 controllers/registration.controller.php:414","Erro na confirmação da password.","Error in confirmation of password."
"controllers/registration.controller.beta.php:96 controllers/registration.controller.php:420","Necessita aceitar os termos","Need accept the terms"
"controllers/registration.controller.beta.php:106 controllers/registration.controller.php:430","Este email já existe no sistema.","This e-mail alredy exist in the system."
"controllers/registration.controller.beta.php:119 controllers/registration.controller.php:443","Código errado.","Invalid Code."
"controllers/registration.controller.beta.php:230","Erro ao forçar autenticação.",""
"controllers/registration.controller.beta.php:564","Ocorreu um erro ao guardar o seu registo","An error occurred while saving your registration."
"controllers/registration.controller.beta.php:780 controllers/registration.controller.php:864 controllers/registration.controller.php:894","Olá","Hi."
"controllers/registration.controller.beta.php:781 controllers/registration.controller.php:865 controllers/registration.controller.php:895","Estás apenas a um passo de completar o processo de registo.","You're just one step away from completing the registration process."
"controllers/registration.controller.beta.php:782 controllers/registration.controller.php:866 controllers/registration.controller.php:896","Para terminar clica no link seguinte para confirmares a criação da tua conta:","To conclude the process, click on the following link to confirm the creation of your account: "
"controllers/registration.controller.beta.php:783 controllers/registration.controller.php:867 controllers/registration.controller.php:897","Link de activação","Activation link"
"controllers/registration.controller.beta.php:784 controllers/registration.controller.php:868 controllers/registration.controller.php:898","Aproveita e activa este e-mail como &ldquo;Safe/Not junk&rdquo; para que possas continuar a receber e-mails nossos e a participar nas campanhas e estudos que temos para ti.","Active this e-mail as &ldquo;Safe/Not junk&rdquo; and add it to your address book so that you may continue to receive emails from us and participate in the campaigns and studies we have for you."
"controllers/registration.controller.beta.php:785 controllers/registration.controller.php:869 controllers/registration.controller.php:899","Obrigado","Thank you"
"controllers/registration.controller.beta.php:886 controllers/registration.controller.php:915","Obrigado pelo tempo que dispensaste para aderir à comunidade %s.","Thanks for the time you took joining our community: %s."
"controllers/registration.controller.beta.php:888 controllers/registration.controller.php:917","Obrigado pelo tempo que dispensaste para aderir à comunidade.","Thanks for the time you took joining our community."
"controllers/registration.controller.php:57","TODO",""
"controllers/registration.controller.php:113 controllers/registration.controller.php:125 controllers/registration.controller.php:177 controllers/registration.controller.php:192 controllers/registration.controller.php:327","Parabéns","Congratulations"
"controllers/registration.controller.php:114 controllers/registration.controller.php:126 controllers/registration.controller.php:329","Registo bem sucedido","You've been sucessfully registered."
"controllers/registration.controller.php:178 controllers/registration.controller.php:193","Pré-registo bem sucedido","You've been sucessfully pre-registered."
"controllers/registration.controller.php:330","Verifica o teu email e clica no link enviado.","Check your mail now and click the link we sent you to validate your account."
"controllers/registration.controller.php:645","Invalide code",""
"controllers/registration.controller.php:649","Invalid ambassadorTO",""
"controllers/survey.controller.php:158","Achas que és um principiante","A beginner"
"controllers/survey.controller.php:159","Um bom conselheiro","A good adviser"
"controllers/survey.controller.php:160","Um ótimo conselheiro","A very good adviser"
"controllers/survey.controller.php:161","Um especialista","A specialist"
"controllers/survey.controller.php:165","Diariamente","Daily"
"controllers/survey.controller.php:166","3 Vezes por semana","3 times a week"
"controllers/survey.controller.php:167","2 Vezes por semana","2 times a week"
"controllers/survey.controller.php:168","1 Vez por semana","1 time a week"
"controllers/survey.controller.php:169","2 Vezes por mês","2 times per month"
"controllers/survey.controller.php:170","1 Vez por mês","1 time per month"
"controllers/survey.controller.php:171","4 Vezes por ano","4 times a year"
"controllers/survey.controller.php:172","2 Vezes por ano","2 times a year"
"controllers/survey.controller.php:173","1 Vez por ano","Once in a year"
"controllers/survey.controller.php:174","Não pratico","I don't practice"
"controllers/tellafriend.controller.php:73","Por favor insere o email com que te registaste na nossa comunidade.","Please enter the email you registered with our community."
"controllers/tellafriend.controller.php:74","Ao fazê-lo poderás ganhar pontos para a tua conta, por cada amigo teu que se registe.","By doing so you can earn points to your account for every friend that your sign."
"controllers/tellafriend.controller.php:75","Quanto mais pontos tiveres mais probabilidades tens de ser seleccionado para as campanhas que realmente te interessam.","The more points you have, the more chances you have of being selected for campaigns that really interest you."
"controllers/tellafriend.controller.php:76","Atenção: para ganhares os pontos terás que ter a tua conta registada.","Attention: you must have a registered account to earn points."
"controllers/tellafriend.controller.php:121","Configura a tua mensagem","Set your message:"
"controllers/tellafriend.controller.php:129","Tens de preencher pelo menos um endereço de email.","You have to fill at least one email address."
"controllers/tellafriend.controller.php:178","Foi enviado um email para %s","An email was sent to %s"
"controllers/tellafriend.controller.php:251","Junta-te já","Join us now"
"controllers/tellafriend.controller.php:253 controllers/tellafriend.controller.php:264","Olá,","Hi,"
"controllers/tellafriend.controller.php:254 controllers/tellafriend.controller.php:265","Vê já este site que te vai interessar.","This site might interest you."
"controllers/tellafriend.controller.php:255 controllers/tellafriend.controller.php:266","É uma comunidade onde podes experimentar produtos e serviços das tuas marcas preferidas gratuitamente.","It's a community where you can try products and services of your favorite brands for free."
"controllers/tellafriend.controller.php:256 controllers/tellafriend.controller.php:267","Eu já sou membro.","Sign in. I'm already a member."
"controllers/tellafriend.controller.php:258 controllers/tellafriend.controller.php:269","Regista-te usando este link - %s - e ambos ganharemos pontos para a nossa conta.","Register using this link - %s - so that we will both gain points to our accounts."
"controllers/tellafriend.controller.php:260 controllers/tellafriend.controller.php:271","Quanto mais pontos tivermos mais probabilidades temos de ser seleccionados para as campanhas.","The more points we have, the more chances we get of being selected for the campaigns."
"controllers/tellafriend.controller.php:261 controllers/tellafriend.controller.php:272","Até já,"," "
"controllers/tellafriend.controller.php:284 controllers/tellafriend.controller.php:311","Enviar email","Send email"
"controllers/tellafriend.controller.php:290 controllers/tellafriend.controller.php:317","Redes sociais","Social networks"
"to/views/tellafriend.vto.php:35","Enviar","Send"
"views/footer.php:57","&copy; 2008 - 2012 Todos os direitos reservados. Embaixadores.com &reg; é uma marca registada da WOM - Marketing Agency, Lda.","&copy;  2012. All rights reserved. Ambassadors.com &reg;  is a registered mark of WOM - Marketing Agency, Ltd."
"views/html_head_metas_facebook.php:12","Estamos à procura de 20.000 experimentadores de produtos no Brasil.","We are looking for 5.000 testers in Greece."
"views/html_head_metas_facebook.php:13","Queres ajudar a renovar tendências? Como embaixador podes transformar-te num autêntico trend setter. Vais poder experimentar produtos das tuas marcas ou produtos preferidos e dar-lhes feedback sobre os mesmos. É tudo muito simples, sem custos e com muita diversão. ","Do you want to help to renew trends? As an ambassador you can become a real trend setter. You'll be able to experiment products and services from your favourite brands and give feedback about them. It's all very simple, with no costs and lots of fun. "
"views/ambassadors/pre_activate.php:10","Parabéns.","Congrats."
"views/ambassadors/pre_activate.php:20","O teu registo foi um sucesso.","Your registration has been successful."
