"location","source","target"
"strings_to_translate.php:98","Vida saudável/Nutrição","Υγιεινή Ζωή/ Διατροφή"
"strings_to_translate.php:99","Campismo","Camping"
"strings_to_translate.php:100","Ópera","Όπερα"
"strings_to_translate.php:101","Cosmética/Beleza","Καλλυντικά/ Ομορφιά"
"strings_to_translate.php:102","Férias/Viagens","Διακοπές/ Ταξίδια"
"strings_to_translate.php:103","Jardinagem","Κηπουρική"
"strings_to_translate.php:104","Limpeza","Καθαριότητα"
"strings_to_translate.php:105","Literatura/Livros","Λογοτεχνία/ Βιβλία"
"strings_to_translate.php:106","Moda/Roupa/Acessórios","Μόδα/ Ρούχα/ Αξεσουάρ"
"strings_to_translate.php:107","Montanhismo","Ορειβασία"
"strings_to_translate.php:108","Música/Concertos","Μουσική/ Συναυλίες"
"strings_to_translate.php:109","Negócios","Επιχειρηματικά θέματα"
"strings_to_translate.php:113","Eu adoro ter e experimentar produtos novos, e estou sempre à procura deles.","Μου αρέσει να έχω νεά προϊόντα και να μπορώ να τα δοκιμάζω. Πάντα τα ψάχνω."
"strings_to_translate.php:114","Eu compro produtos novos, se vir neles conveniência","Αγοράζω νέα προϊόντα αν δω ότι είναι πραγματικά χρήσιμα."
"strings_to_translate.php:115","Se os meus amigos me recomendarem um produto novo, normalmente compro.","Αν οι φίλοι μου προτείνουν ένα νέο προϊόν, συνήθως το αγοράζω."
"strings_to_translate.php:116","Apenas compro e experimento produtos novos de vez em quando.","Προσπαθώ να αγοράζω νέα προϊόντα καμιά φορά"
"strings_to_translate.php:120","Ator","Ηθοποιός "
"strings_to_translate.php:121","Administrativo","Διοικητικός υπάλληλος"
"strings_to_translate.php:122","Advogado","Δικηγόρος"
"strings_to_translate.php:123","Agente de Segurança","Σώματα Ασφαλείας"
"strings_to_translate.php:124","Agricultor","Αγρότης"
"strings_to_translate.php:125","Analista","Αναλυτής"
"strings_to_translate.php:126","Antropólogo","Ανθρωπολόγος"
"strings_to_translate.php:127","Arqueólogo","Αρχαιολόγος"
"strings_to_translate.php:128","Arquiteto","Αρχιτέκτων"
"strings_to_translate.php:129","Artista","Εικαστικός"
"strings_to_translate.php:130","Auditor","Ελεγκτής"
"strings_to_translate.php:131","Bancário","Τραπεζικός"
"strings_to_translate.php:132","Barbeiro","Κουρέας"
"strings_to_translate.php:133","Biólogo","Βιολόγος"
"strings_to_translate.php:134","Bombeiro","Πυροσβέστης"
"strings_to_translate.php:135","Cabeleireiro","Κομμωτής/Κομμώτρια"
"strings_to_translate.php:136","Canalizador","Υδραυλικός"
"strings_to_translate.php:137","Carpinteiro","Μαραγκός"
"strings_to_translate.php:138","Cientista","Επιστήμων"
"strings_to_translate.php:139","Comerciante","Έμπορος"
"strings_to_translate.php:140","Comunicação","Επαγγελματίας στην Επικοινωνία"
"strings_to_translate.php:141","Construtor Civil","Οικοδόμος"
"strings_to_translate.php:142","Consultor","Σύμβουλος"
"strings_to_translate.php:143","Contabilista","Λογιστής"
"strings_to_translate.php:144","Cozinheiro","Μάγειρας"
"strings_to_translate.php:145","Dançarino","Χορευτής/Χορεύτρια"
"strings_to_translate.php:146","Decorador","Διακοσμητής"
"strings_to_translate.php:147","Dentista","Οδοντίατρος"
"strings_to_translate.php:148","Designer Gráfico","Γραφίστας"
"strings_to_translate.php:149","Designer de Moda","Σχεδιαστής Μόδας"
"strings_to_translate.php:150","Desportista","Αθλητής"
"strings_to_translate.php:151","Dietista","Διαιτολόγος"
"strings_to_translate.php:152","Doméstico","Οικιακά"
"strings_to_translate.php:153","Economista","Οικονομολόγος"
"strings_to_translate.php:154","Educador de Infância","Νηπιαγωγός"
"strings_to_translate.php:155","Eletricista","Ηλεκτρολόγος"
"strings_to_translate.php:156","Empregado de Bar","Μπάρμαν"
"strings_to_translate.php:157","Empregado de Loja","Υπάλληλος καταστήματος"
"strings_to_translate.php:158","Empregado de Mesa","Σερβιτόρος"
"strings_to_translate.php:159","Enfermeiro","Νοσοκόμος/Νοσοκόμα"
"strings_to_translate.php:160","Engenheiro","Μηχανικός"
"strings_to_translate.php:161","Escritor","Συγγραφέας"
"strings_to_translate.php:162","Escultor","Γλύπτης"
"strings_to_translate.php:163","Estudante","Φοιτητής/Μαθητής"
"strings_to_translate.php:164","Farmacêutico","Φαρμακοποιός"
"strings_to_translate.php:165","Físico","Φυσικός"
"strings_to_translate.php:166","Fisioterapeuta","Φυσικοθεραπευτής"
"strings_to_translate.php:167","Fotógrafo","Φωτογράφος"
"strings_to_translate.php:168","Funcionário Público","Κυβερνητικός υπάλληλος"
"strings_to_translate.php:169","Geólogo","Γεωλόγος"
"strings_to_translate.php:170","Gestor","Διευθυντικό στέλεχος"
"strings_to_translate.php:171","Governanta","οικονόμος"
"strings_to_translate.php:172","Historiador","Ιστορικός "
"strings_to_translate.php:173","Informático","Τεχνικός Η/Υ"
"strings_to_translate.php:174","Jardineiro","Κηπουρός"
"strings_to_translate.php:175","Jornalista","Δημοσιογράφος"
"strings_to_translate.php:176","Juiz","Δικαστής"
"strings_to_translate.php:177","Marinheiro","Ναύτης"
"strings_to_translate.php:178","Marketeer","Μarketeer"
"strings_to_translate.php:179","Massagista","Μασέρ"
"strings_to_translate.php:180","Matemático","Μαθηματικός"
"strings_to_translate.php:181","Mecânico","Μηχανικός"
"strings_to_translate.php:182","Médico","Γιατρός"
"strings_to_translate.php:183","Militar","Στρατιωτικός"
"strings_to_translate.php:184","Mineiro","Εξορύκτης"
"strings_to_translate.php:185","Modelo","Μοντέλο"
"strings_to_translate.php:186","Motorista","Οδηγός"
"strings_to_translate.php:187","Músico","Μουσικός"
"strings_to_translate.php:188","Nutricionista","Διατροφολόγος"
"strings_to_translate.php:189","Operário","Εργάτης"
"strings_to_translate.php:190","Ótico","Οφθαλμίατρος"
"strings_to_translate.php:191","Paisagista","Τοπογράφος"
"strings_to_translate.php:192","Pasteleiro","Ζαχαροπλάστης"
"strings_to_translate.php:193","Pescador","Ψαράς"
"strings_to_translate.php:194","Pintor","Ζωγράφος"
"strings_to_translate.php:195","Polícia","Αστυνομικός"
"strings_to_translate.php:196","Professor","Δάσκαλος/Δασκάλα"
"strings_to_translate.php:197","Professor de Fitness","Γυμναστής"
"strings_to_translate.php:198","Programador","Προγραμματιστής"
"strings_to_translate.php:199","Psicólogo","Ψυχολόγος"
"strings_to_translate.php:200","Publicitário","Διαφημιστής"
"strings_to_translate.php:201","Químico","Χημικός"
"strings_to_translate.php:202","Rececionista","Ρεσεψιονίστ"
"strings_to_translate.php:203","Soldador","Συγκολλητής"
"strings_to_translate.php:204","Talhante","Κρεοπώλης"
"strings_to_translate.php:205","Taxista","Οδηγός Ταξί"
"strings_to_translate.php:206","Técnico de Saúde","Επαγγελματίας Υγείας και Πρόνοιας"
"strings_to_translate.php:207","Trabalhador da Construção Civil","Εργάτης κατασκευαστικής εταιρείας"
"strings_to_translate.php:208","Trabalho Social","Κοινωνικός Λειτουργός"
"strings_to_translate.php:209","Turismo","Τουριστικά Επαγγέλματα"
"strings_to_translate.php:210","Urbanista","Πολεοδόμος"
"strings_to_translate.php:211","Vendedor","Πωλητής"
"strings_to_translate.php:212","Veterinário","Κτηνίατρος"
"strings_to_translate.php:213","Vigilante","Επιτηρητής"
"strings_to_translate.php:217","Normalmente faço as coisas sozinho. Assim posso fazer o que quero.","Συνήθως κάνω πράγματα μόνος μου. Έτσι μπορώ να κάνω ό,τι θέλω."
"strings_to_translate.php:218","Se os meus amigos tomarem as decisões, normalmente eu participo sempre","Αν οι φίλοι μου πάρουν τις αποφάσεις, σχεδόν πάντα συμμετέχω."
"strings_to_translate.php:219","Quase sempre decidimos em conjunto o que fazer.","Σχεδόν πάντα αποφασίζουμε μαζί τι θα κάνουμε. "
"strings_to_translate.php:220","Eu sugiro frequentemente o que devemos fazer e convenço os meus amigos.","Συχνά προτείνω τι να κάνουμε και καταφέρνω να πείσω τους φίλους μου."
"strings_to_translate.php:221","Eu planeio na maior parte das vezes o que fazemos.","Τις περισσότερες φορές εγώ προγραμματίζω το τι θα κάνουμε."
"strings_to_translate.php:225","Facebook","Facebook"
"strings_to_translate.php:226","Twitter","Twitter"
"strings_to_translate.php:227","Google +","Google +"
"strings_to_translate.php:228","Myspace","Myspace"
"strings_to_translate.php:229","Orkut","Orkut"
"strings_to_translate.php:230","LinkedIn","LinkedIn"
"strings_to_translate.php:231","Hi5","Hi5"
"strings_to_translate.php:232","Flickr","Flickr"
"strings_to_translate.php:233","Pinterest","Pinterest"
"strings_to_translate.php:234","Netlog","Netlog"
"strings_to_translate.php:235","Foursquare","Foursquare"
"strings_to_translate.php:236","Bebo","Bebo"
"strings_to_translate.php:237","Istagr.am","Istagr.am"
"strings_to_translate.php:241 strings_to_translate.php:242 strings_to_translate.php:243 strings_to_translate.php:244 strings_to_translate.php:255 strings_to_translate.php:258","Com que frequência usas as seguintes tecnologias?","Πόσο συχνά χρησιμοποιείς τις παρακάτω τεχνολογίες;"
"strings_to_translate.php:245","Os Embaixadores recebem todo o material necessário para o desenvolvimento do projecto, por exemplo: embalagens de produto, telemóveis, livros, consolas de jogos, música. Recebem ainda material informativo e uma descrição detalhada do projecto. Para te podermos contactar e enviar todo o material referente a um projecto necessitamos que nos dês as seguintes informações:",""
"strings_to_translate.php:246 strings_to_translate.php:247 strings_to_translate.php:248 strings_to_translate.php:253 strings_to_translate.php:256","TRADUZIR:Os Embaixadores recebem todo o material necessário para o desenvolvimento do projecto, por exemplo: embalagens de produto, telemóveis, livros, consolas de jogos, música. Recebem ainda material informativo e uma descrição detalhada do projecto. Para te podermos contactar e enviar todo o material referente a um projecto necessitamos que nos dês as seguintes informações:",""
"strings_to_translate.php:249 strings_to_translate.php:250 strings_to_translate.php:251 strings_to_translate.php:254 strings_to_translate.php:257","TRADUZIR:A morada alternativa deve ser preenchida sempre que pretendas que os envios de correspondência sejam feitos para outra morada, que não a da tua residência. Caso seja a mesma assinala na opção no fundo da página",""
"strings_to_translate.php:252","A morada alternativa deve ser preenchida sempre que pretendas que os envios de correspondência sejam feitos para outra morada, que não a da tua residência. Caso seja a mesma assinala na opção no fundo da página",""
"strings_to_translate.php:262","flags","flags N/A"
"strings_to_translate.php:263","Condições de utilização","Όροι και Προϋποθέσεις Χρήσης για το Δικτυακό Τόπο"
"strings_to_translate.php:264","Entrada",""
"strings_to_translate.php:265","Wom no Mundo","Tο WOM στον κόσμο"
"strings_to_translate.php:266","Para empresas","Για τις εταιρείες"
"strings_to_translate.php:267","Para embaixadores","Για τους ambassadors"
"strings_to_translate.php:268","Contacta-nos","Επικοινωνία"
"strings_to_translate.php:269","Política de privacidade","Πολιτική Προστασίας Προσωπικών Δεδομένων"
"strings_to_translate.php:270","Registo","Εγγραφή"
"strings_to_translate.php:271","Recuperar Pass",""
"strings_to_translate.php:272","Questionários","Ερωτηματολόγια"
"strings_to_translate.php:273","Questionario Mostra",""
"strings_to_translate.php:274","O meu perfil","Το προφίλ μου"
"strings_to_translate.php:275","Confirmação","επικύρωση"
"strings_to_translate.php:276","Campanhas","Καμπάνιες"
"strings_to_translate.php:277","Informação","Πληροφορίες"
"strings_to_translate.php:278","site_entrance",""
"strings_to_translate.php:279","Nova Password","Νέο συνθηματικό"
"strings_to_translate.php:280","Confirmação Password","Επιβεβαίωση συνθηματικού"
"strings_to_translate.php:281","fake_page",""
"strings_to_translate.php:285","Feminino","Γυναίκα"
"strings_to_translate.php:286","Masculino","Άντρας"
"strings_to_translate.php:290","Solteiro","Άγαμος/η"
"strings_to_translate.php:291","Casado","Έγγαμος/η"
"strings_to_translate.php:292","Divorciado","Διαζευγμένος/η"
"strings_to_translate.php:293","Viuvo","Χήρος/Χήρα"
"strings_to_translate.php:297","Primária","Πρωτοβάθμια "
"strings_to_translate.php:298","Preparatória","Δευτεροβάθμια"
"strings_to_translate.php:299","Secundário","Τριτοβάθμια"
"strings_to_translate.php:300","Licenciatura","Πτυχίο"
"strings_to_translate.php:301","Mestrado","Master"
"strings_to_translate.php:302","Doutoramento","Διδακτορικό"
"strings_to_translate.php:306","Sim","ναι"
"strings_to_translate.php:307","Não","όχι"
"controllers/ambassadors.controller.php:107","Bem-vindo","Καλώς ήρθες"
"controllers/ambassadors.controller.php:160 controllers/ambassadors.controller.php:206","É necessário um endereço de e-mail válido.","Χρειάζεται έγκυρη διεύθυνση email. "
"controllers/ambassadors.controller.php:234","O endereço fornecido já existe.","Η παρεχόμενη διεύθυνση email υπάρχει ήδη"
"controllers/ambassadors.controller.php:273","Lamentamos mas ocorreu um erro ao efectuar o seu pré-registo. Foi-nos impossível guardá-lo.",""
"controllers/ambassadors.controller.php:287","Lamentamos mas ocorreu um erro ao efectuar o pré-registo. Foi-nos impossível guardar o endereço de mail fornecido.","Λυπούμαστε, αλλά λόγω απρόβλεπτης εξέλιξης δεν ήταν δυνατή η εκτέλεση της προεγγραφής σας. "
"controllers/ambassadors.controller.php:326","Lamentamos mas ocorreu um erro ao enviar o mail para o endereço fornecido.","Λυπούμαστε, αλλά λόγω απρόβλεπτης εξέλιξης δεν ήταν δυνατή η αποστολή του email επιβεβαίωσης."
"controllers/ambassadors.controller.php:338","<p>5 - Parabéns. O teu registo foi efectuado.</p>
						<p class=""texto5"">Dentro de alguns dias receberás novidades no teu email. Entretanto recomenda já o nosso site a todos os teus amigos. Podes ganhar pontos adicionais por cada um que se inscreva através da tua recomendação. Mais pontos são mais possibilidades de receberes convites para as campanhas que são do teu interesse. Não percas tempo!</p>",""
"controllers/ambassadors.controller.php:349","Lamentamos imenso mas uma situação imprevista inviabilizou a acção de pre-registo.","Λυπούμαστε, αλλά λόγω απρόβλεπτης εξέλιξης δεν ήταν δυνατή η επιτυχής εκπλήρωση του αιτήματος. "
"controllers/ambassadors.controller.php:372 controllers/ambassadors.controller.php:382","Ups! Algo correu mal!","Oυπς... Κάτι πήγε στραβά! "
"controllers/ambassadors.controller.php:456","Não foi possível confirmar o registo.","Αποτυχία επιβεβαίωσης."
"controllers/ambassadors.controller.php:465","O registo já se encontra confirmado.","Η εγγραφή σου έχει ήδη επιβεβαιωθεί. "
"controllers/ambassadors.controller.php:514","<p>Parabéns.</p>O teu registo foi um sucesso. Dentro de alguns dias receberás novidades no teu email. Entretanto recomenda já o nosso site a todos os teus amigos. Podes ganhar pontos adicionais por cada um que se inscreva através da tua recomendação. Mais pontos são mais possibilidades de receberes convites para as campanhas que são do teu interesse. Não percas tempo!",""
"controllers/ambassadors.controller.php:517","Ocorreu um erro ao efectuar o teu registo.",""
"controllers/change_password.controller.php:33","change_password::change_password::ok::title - OK","Συγχαρητήρια"
"controllers/change_password.controller.php:33","change_password::change_password::ok::message - Password sucessfully changed.","Ο κωδικός πρόσβασης άλλαξε με επιτυχία"
"controllers/change_password.controller.php:36 controllers/change_password.controller.php:39","change_password::change_password::failure::title - OOPS","Oops!"
"controllers/change_password.controller.php:36 controllers/change_password.controller.php:39","change_password::change_password::failure::message - something went wrong.","Σφάλμα στην αλλαγή του κωδικού πρόσβασης"
"controllers/content.controller.php:389","Community","κοινότητα"
"controllers/content.controller.php:427","Sobre nós","Σχετικά"
"controllers/content.controller.php:458 controllers/content.controller.php:481 controllers/content.controller.php:521","Suporte","Υποστήριξη"
"controllers/content.controller.php:541","Junta-te a nós","Γίνε μέλος τώρα"
"controllers/dashboard.controller.php:19","Dados Demográficos",""
"controllers/dashboard.controller.php:22","Género","Φύλο"
"controllers/dashboard.controller.php:25","Idade","Πόλη (οικίας)"
"controllers/dashboard.controller.php:29","Escolaridade","Εθνικότητα"
"controllers/default.controller.php:370","Lamentamos imenso o sucedido mas uma situação imprevista inviabilizou a satisfação do pedido com sucesso","Λυπούμαστε, αλλά λόγω απρόβλεπτης εξέλιξης δεν ήταν δυνατή η επιτυχής εκπλήρωση του αιτήματος. "
"controllers/default.controller.php:436 controllers/default.controller.php:441","login_box::message - Login session expired.","Login session expired."
"controllers/default.controller.php:446","login_box::message - Inválid login credentials.","Μη έγκυρες πληροφορίες"
"controllers/default.controller.php:451 controllers/default.controller.php:456 controllers/default.controller.php:461","login_box::message - Unexpected error. Please try later!","Unexpected error. Please try later!"
"controllers/profile.controller.php:40","Registo inicial","Αρχική εγγραφή"
"controllers/profile.controller.php:77","Bónus",""
"controllers/profile.controller.php:83","profile::bonus_item::help_text - Bonus help text",""
"controllers/profile.controller.php:160","Profile::points details::profile","Προφίλ"
"controllers/profile.controller.php:163","Profile::points details::these_points_are_permanent - These points are permanent.",""
"controllers/profile.controller.php:166","Profile::points details::me_as_invitee_points - You earned %d points as invitee.","Συμμετοχή σε καμπάνιες"
"controllers/profile.controller.php:172","Profile::points details::friend that registered","Φίλοι που έκαναν εγγραφή με τον κωδικό πρόσκλησής σου."
"controllers/profile.controller.php:175","Profile::points details::Friend had registered - %d friends had registered with your code","%d φίλοι έχουν κάνει εγγραφή με τον κωδικό πρόσκλησής σου."
"controllers/profile.controller.php:184","Profile::points details::enrolled campaigns - Campaigns you had participated","Συμμετοχή σε καμπάνιες"
"controllers/recover_password.controller.php:35","recover_password::notification_mail::subject - Password recovery","Επεξεργασία εγγραφής"
"controllers/recover_password.controller.php:36","recover_password::notification_mail::body::header - Click the link to change your password"," "
"controllers/recover_password.controller.php:37","recover_password::notification_mail::body::footer - See you"," "
"controllers/recover_password.controller.php:44","recover_password_submit:success_title Success","Συγχαρητήρια"
"controllers/recover_password.controller.php:45","recover_password_submit:success_message Check your email and follow the instructions","Τσέκαρε το email σου και πάτα το link που σου στείλαμε"
"controllers/recover_password.controller.php:58","recover_password_submit:failure_notification_title","Oops!"
"controllers/recover_password.controller.php:73","recover_password::recover_password::title Recuperação de password","Συγχαρητήρια! "
"controllers/recover_password.controller.php:75","recover_password::recover_password::sub_title Escreve em baixo a tua nova password","Νέος κωδικός πρόσβασης"
"controllers/recover_password.controller.php:110 controllers/registration.controller.php:115 controllers/registration.controller.php:116 controllers/registration.controller.php:137 controllers/registration.controller.php:138 controllers/registration.controller.php:200 controllers/registration.controller.php:215 controllers/registration.controller.php:446 controllers/registration.controller.php:513 controllers/registration.controller.php:575 controllers/registration.controller.php:622","Parabéns","Συγχαρητήρια"
"controllers/recover_password.controller.php:111","update_password::success_tex - Your password was updated.","Ο κωδικός πρόσβασης άλλαξε με επιτυχία"
"controllers/recover_password.controller.php:118 controllers/recover_password.controller.php:130 controllers/recover_password.controller.php:136 controllers/recover_password.controller.php:141","update_password::failed_text - operation failed.","Σφάλμα στην αλλαγή του κωδικού πρόσβασης"
"controllers/recover_password.controller.php:119 controllers/recover_password.controller.php:125 controllers/recover_password.controller.php:131 controllers/recover_password.controller.php:137 controllers/recover_password.controller.php:142 controllers/registration.controller.php:148 controllers/registration.controller.php:149 controllers/registration.controller.php:219 controllers/registration.controller.php:571 controllers/registration.controller.php:584 controllers/registration.controller.php:589 controllers/registration.controller.php:631 controllers/registration.controller.php:640 controllers/registration.controller.php:1271","Oops!","Oops!"
"controllers/recover_password.controller.php:124","update_password::failed_text - invalid operation","Σφάλμα στην αλλαγή του κωδικού πρόσβασης"
"controllers/registration.controller.php:57","TODO",""
"controllers/registration.controller.php:117 controllers/registration.controller.php:139","registration::activate_registration::success_essage_1 - Your registration has been successfully submitted","Η εγγραφή σου ήταν επιτυχής."
"controllers/registration.controller.php:118 controllers/registration.controller.php:140","registration::activate_registration::success_essage_2 - Thanks for joining our community. You can now login and you will be able to:","Ευχαριστούμε που γράφτηκες στην κοινότητά μας. Τώρα μπορείς να κάνεις log in και να: "
"controllers/registration.controller.php:119 controllers/registration.controller.php:141","registration::activate_registration::success_essage_3 - Complete your profile and keep it updated so we get to know you better and we can adjust our campaigns to your interests and needs;","- Συμπληρώσεις το προφίλ σου. Φρόντισε να το κρατάς ενημερωμένο για να μπορούμε να σε γνωρίσουμε καλύτερα και να προσαρμόσουμε τις καμπάνιες μας στα ενδιαφέροντα και τις ανάγκες σου"
"controllers/registration.controller.php:120 controllers/registration.controller.php:142","registration::activate_registration::success_essage_4 - Register on campaigns available that are of interest to you;","- Δηλώσεις συμμετοχή στις διαθέσιμες καμπάνιες που σε ενδιαφέρουν"
"controllers/registration.controller.php:121 controllers/registration.controller.php:143","registration::activate_registration::success_essage_5 - Learn more about how to be an ambassador, with our training program;","- Μάθεις περισσότερα για το πώς να είσαι ambassador, με το εκπαιδευτικό μας πρόγραμμα"
"controllers/registration.controller.php:122 controllers/registration.controller.php:144","registration::activate_registration::success_essage_6 - Start getting the word out about our community and recommend it to your friends. You'll get points for each one that register. With more points you also have more opportunities we select you for the campaigns that interest you.","- Ξεκινήσεις να μοιράζεσαι τα νέα για την κοινότητά μας και να τη συστήνεις στους φίλους σου. Για κάθε έναν που γράφεται θα κερδίζεις πόντους. Με περισσότερους πόντους θα έχεις περισσότερες ευκαιρίες να σε επιλέξουμε για τις καμπάνιες που σε ενδιαφέρουν. "
"controllers/registration.controller.php:123 controllers/registration.controller.php:145","registration::activate_registration::success_essage_7 - Good Luck!","Καλή τύχη!"
"controllers/registration.controller.php:150","registration::activate_registration::failure - Your registration was not updated","Oops!"
"controllers/registration.controller.php:201 controllers/registration.controller.php:216","Pré-registo bem sucedido","Η προεγγραφή σου ήταν επιτυχής."
"controllers/registration.controller.php:220","registration::activate_pre_registration::failure - Your registration was not updated","Oops!"
"controllers/registration.controller.php:259","registration::edit::registration_information::title - Registration","Επεξεργασία εγγραφής"
"controllers/registration.controller.php:260","registration::edit::profile::sub_title - This is where you edit your registration information","Εδώ μπορείς να επεξεργαστείς τα στοιχεία της εγγραφής σου"
